product_code,description,sheet_name,reference_stock,last_cost,last_supplier,last_purchase_date,last_sale_date,last_client,last_comment,source_file,area,active
00009-30,"VÍDEO,2100 OPERACIONES",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
00010G-30,"CATÁLOGO, PIEZAS Y ACCESO GUZZLER",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
00082-30,"VÍDEO,BOQUILLA",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
0720075,KIT DE MANTENIMIENTO PREVENTIVO IAF,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1000465J-30,"ESQUEMA, ELÉCTRICO",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1000466J-30,"ESQUEMA, ELÉCTRICO",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
1000474B-30,FOCO DE MANO CON CARRETE DE 50',Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10075F-30,LLAVE 3/8 CUADRADO X 1 1/2,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10075K-30,"LLAVE 3/8 CUADRADO X 1 7/8""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10075M-30,"LLAVE 3/8 CUADRADO X 1 3/4""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10231H-30,"LLAVE CUADRADA 1/2"" X 2-1/2""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10263-30,HORQUILLA,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10422E-30,"LLAVE CUADRADA 1/4"" X 1-1/2""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10422F-30,"LLAVE CUADRADA 1/4"" X 2""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10453-30,CODO MACHO-HEMBRA 1/4 ESTÁNDAR 90*,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10453A-30,"CODO MACHO-HEMBRA 1-1/2"" 90*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10453B-30,"CODO MACHO-HEMBRA 1"" 90*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10453C-30,CODO CALLE ACERO 3/8 90*,Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10453E-30,"CODO MACHO-HEMBRA 1 1/4"" X 90*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10453J-30,"CODO MACHO-HEMBRA 2 1/2"" 90*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10453K-30,"CODO MACHO-HEMBRA 2"" 90* NEGRO NPT",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10453R-30,"CODO MACHO-HEMBRA 3""NPT 90*",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10460B-30,"TUBO ACOPLAMIENTO COMPLETO STL 2""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10460C-30,"TUBO ACOPLAMIENTO COMPLETO 3""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
10460E-30,"TUBO ACOPLAMIENTO COMPLETO 1/4""",Vactor Parts Pricing - 03-14,0,,FS DEPOT,,,,Lista historica Vactor 2014 traducida al espanol,2014-03 Price File - Vactor Parts espanol.xlsx,Vehículos Especiales,true
